Alimento (Comida / Bebida),Fruta (Fruto),Animal (Bicho),Ave (Pássaro),Mamífero,Artista,Grupo Musical (Banda),Cantores do Brasil,C.E.P. (Cidade-Estado-País),País (Território),Cidade do Brasil,Cidade dos Estados Unidos,Idioma (Língua / Dialeto),Moeda (Dinheiro),Cor (Tonalidade),Esporte (Desporto),Time (Clube de Futebol),Time do Brasil,Marca,Marca de Automóvel,Marca de Cachaça,Marca de Café,Marca de Refrigerante,Nome de Pessoa,Sobrenome,Objeto (Concreto),Partes do Corpo Humano,Personagem,Profissão (Ocupação),Especialidade (Área do Conhecimento),Desenho Animado,Filme,Filme do Brasil,Verbo,Elemento Químico,Fobia (Medo),Mineral
Água,Abacaxi,Anta,Andorinha,Alce,Angélica,ABBA,Anitta,Agudos,Argentina,Alegre,Adona,Alemão,Ariary,Azul,Atletismo,Arsenal,Atlético,Amafil,Audi,Atitude,Alvorada,Artemis,Alex,Alves,Abajur,Audição,Ariel,Arquiteto,Administração,Astro Boy,Amélia,Acquária,Amar,Alumínio,Afobia,Ametista
Bolo,Banana,Boto,Bandeirinha,Baleia,Bottelho,Blitz,Armandinho ,Amazonas,Brasil,Bandeira,Boston,Búlgaro,Bolivar,Branco,Basquetebol,Barcelona,Botafogo,Bombril,BMW,Boazinha,Brasileiro,Baré,Ana ,Barbosa,Boneca,Braço,Boitatá,Bombeiro,Botânica,Ben 10,Bruno,Besouro,Beber,Berílio,Biofobia,Blenda
Chocolate,Caju,Cavalo,Codorna,Cabra,Cazuza,Chicago,Bruna Karla,Angola ,Chile,Cantá,Chicago,Chinês,Coroa,Cinza,Corrida,Chelsea,Cruzeiro,Cral,Chevrolet,Cabaré,Cristal,Coca-Cola,Beatriz,Costa,Caneta,Cabeça,Cinderella,Caminhoneiro,Ciências,CatDog,Camilla,Carandiru,Cantar,Carbono,Criofobia,Cobre
Dendê,Damasco,Dromedário,Diuca,Doninha,Donatello,Detonautas,Byafra ,Braúna,Dominica,Divino,Dallas,Dinamarquês,Dólar,Dourado,Decatlo,Dínamo,Democrata,Danone,Dodge,Damió,Dragão,Del Rey,Bruno ,Dias,Diário,Dedo,Don Juan,Detetive,Desenho,Doug,Desejo,Desenrola,Dançar,Dúbnio,Dorafobia,Distena
Espinafre,Embaúba,Elefante,Ema,Esquilo,Eliana,Eagles,Cassiane,Bahia,Espanha,Esperança,Eureka,Espanhol,Euro,Escarlate,Esgrima,Estudiante,Estanciano,Eletrolux,Engesa,Evidência,Evolutto,Fanta,Carla,Esteves,Escada,Estômago,Emília,Engenheiro,Enfermagem,Evangelion,Elektra,Estranhos,Educar,Estanho,Eritofobia,Euxenita
Feijão,Figo,Furão,Flamingo,Foca,Fídias,Fresno,Chorão ,Butão ,Finlândia,Feliz,Filadélfia,Finlandês,Franco,Ferrugem,Futebol,Fiorentina,Flamengo,Ferrari,FIAT,Feliciana,Favorito,Guaranita,Carlos ,Ferreira,Faca,Face,Fausto,Ferreiro,Física,Futurama,Felicidade,Fulaninha,Falar,Fósforo,Fotofobia,Fenacite
Goiaba,Gravatá,Girafa,Garrincha,Gambá,Glória Maria,Genesis,Damares,Canela,Grécia,Gentil,Goodyear,Grego,Guarani,Grená,Ginástica,Genoa,Grêmio,Gillette,Gurgel,Granfina,Garoto,H2OH!,Dara,Gonçalves,Gaita,Garganta,Gavroche,Gerente,Geografia,Garfield,Gilda,Gabriela,Gostar,Germânio,Gatofobia,Grafite
Hobza,Heisteria,Hiena,Harpia,Hipopótamo,Hilda Hilst,Hibria,Daniel ,Colorado,Hungria,Harmonia,Honolulu,Holandês,Hryvnia,Herbal,Hipismo,Huracán,Horizonte,Havaianas,Honda,Havana,Haiti,It!,Diego ,Herrera,Harpa,Hormônio,Hércules,Historiador,História,He-Man,Hulk,Hoje,Herdar,Hélio,Heliofobia,Hialita
Iogurte,Ingá,Impala,Inhambu,Iaque,Irene Vilar,Ira!,Ed Motta,Colômbia ,Índia,Ipê,Indianápolis,Inglês,Iene,Índigo,Iatismo,Internazionale,Internacional,Isopor,Iveco,Isaura,Itaú,Jesus,Elias,Ibanez,Isqueiro,Intestino,Isabel,Ilustrador,Irrigação,Inspetor Bugiganga,Infiel,Iracema,Ingerir,Índio,Iofobia,Ilmenita
Jícama,Jatobá,Jumento,Jacu,Jaguar,John Graz,Journey,Elba Ramalho ,Dionísio,Japão,Jatobá,Jackson,Japonês,Kuna,Jasmim,Judô,Juventus,Juventude,Joma,Jeep,Juízo,Jandaia,Kuat,Eva ,Juarez,Jarra,Joelho,Jigsaw,Jardineiro,Jornalismo,Johnny Bravo,Jezebel,Jenipapo,Jogar,Potássio,Japanofobia,Jade
Kolache,Kabosu,Kudu,Lagarteiro,Kudu,Keith Haring,Kiss,Fafá de Belém,Delaware,Kiribati,Kaloré,Killen,Kirundi,Loti,Kiwi,Karate,Kashima Antlers,Kapital,Kappa,Kia,Katira,Kimimo,Leda,Fátima,Klein,Kunai,Lábios,Kakashi,Karateca,Letras,Kid vs. Kat,Kedma,Kenoma,Lavar,Lutécio,Katsaridafobia,Kobellita
Leite,Limão,Leão,Macuco,Lobo,Lísipo,Leela,Fagner ,Dinamarca ,Lesoto,Limoeiro,Lincoln,Latim,Metical,Laranja,Luta,Lazio,Luverdense,Lycra,Lamborghini,Luana,Lydia,Mineiro,Francisco ,Lopes,Lanterna,Mão,Lobisomem,Lenhador,Medicina,Luluzinha,Lilith,Lamarca,Morar,Mercúrio,Logofobia,Lazurita
